akceptuję akceptuji
nabędziesz nabudeš
nabędzie nabude
naciskam tlačím
naciskasz tlačíš
naciska tlačí
nadam udělím
nadasz udělíš
nada udělí
nadaję vysílám
nadajesz vysíláš
nadaje vysílá
nakarmię nakrmím
nakarmisz nakrmíš
nakarmi nakrmí
nakładam nakládám
nakładasz nakládáš
nakłada nakládá
nakłonię přiměji
nakłonisz přiměješ
nakłoni přiměje
nakręcę natočím
nakręcisz natočíš
nakręci natočí
nakryję nakryji
nakryjesz nakryješ
nakryje nakryje
naleję naliji
nalejesz naliješ
naleje nalije
nałożę naložím
nałożysz naložíš
nałoży naloží
namaluję namaluji
namalujesz namaluješ
namaluje namaluje
namawiam přemlouvám
namawiasz přemlouváš
namawia přemlouvá
namierzę zaměřím
namierzysz zaměříš
namierzy zaměří
namówię přemluvím
namówisz přemluvíš
namówi přemluví
napadam napadám
napadają napadáš
napada napadá
napadnę napadnu
napadniesz napadneš
napadnie napadne
napawam napájím
napawasz napájíš
napawa napájí
napełniam naplňuji
napełniasz naplňuješ
napełnia naplňuje
napełnię naplním
napełnisz naplníš
napełni naplní
napiszę napíšu
napiszesz napíšeš
napisze napíše
napoję napojím
napoisz napojíš
napoi napojí
napotkam potkám
napotkasz potkáš
napotka potká
naprowadzę navedu
naprowadzisz navedeš
naprowadzi navede
narażę ohrozím
narażasz ohrozíš
naraża ohrozí
narażam ohrožuji
narażasz ohrožuješ
naraża ohrožuje
naruszę poruším
naruszysz porušíš
naruszy poruší
narysuję nakreslím
narysujesz nakreslíš
narysuje nakreslí
nastawię nastavím
nastawisz nastavíš
nastawi nastaví
nastraszę vystraším
nastraszysz vystrašíš
nastraszy vystraší
nasycę nasytím
nasycisz nasytíš
nasyci nasytí
naśladuję napodobuji
naśladujesz napodobuješ
naśladuje napodobuje
nauczę naučím
nauczysz naučíš
nauczy naučí
nawiążę navážu
nawiążesz navážeš
nawiąże naváže
nawrócę obrátím
nawrócisz obrátíš
nawróci obrátí
nazwę nazvu
nazwiesz nazveš
nazwie nazve
nazywam nazývám
nazywasz nazýváš
nazywa nazývá
nękam trápím
nękasz trápíš
nęka trápí
niepokoję znepokojuji
niepokoisz znepokojuješ
niepokoi znepokojuje
niosę nesu
niesiesz neseš
niesie nese
niszczę ničím
niszczysz ničíš
niszczy ničí
nocuję nocuji
nocujesz nocuješ
nocuje nocuje
noszę nosím
nosisz nosíš
nosi nosí
notuję notuji
notujesz notuješ
notuje notuje
nucę broukám
nucisz broukáš
nuci brouká
nudzę nudím
nudzisz nudíš
nudzi nudí
obalę svrhnu
obalisz svrhneš
obali svrhne
obarczam zatěžuji
obarczasz zatěžuješ
obarcza zatěžuje
obchodzę slavím
obchodzisz slavíš
obchodzi slaví
obetnę ostříhám
obetniesz ostříháš
obetnie ostříhá
obciążam zatěžuji
obciążasz zatěžuješ
obciąża zatěžuje
obciążę zatížím
obciążysz zatížíš
obciąży zatíží
obdarzę obdařím
obdarzysz obdaříš
obdarzy obdaří
obejmuję objímám
obejmujesz objímáš
obejmuje objímá
obezwładnię znehybním
obezwładnisz znehybníš
obezwładni znehybní
objaśnię objasním
objaśnisz objasníš
objaśni objasní
obejmę obejmu
obejmiesz obejmeš
obejmie obejme
objadę objedu
objedziesz objedeš
objeździe objede
obliczę vypočítám
obliczysz vypočítáš
obliczy vypočítá
obmacuję ohmatávám
obmacujesz ohmatáváš
obmacuje ohmatává
obmyślę vymyslím
obmyślisz vymyslíš
obmyśli vymyslí
obniżę snížím
obniżysz snížíš
obniży sníží
obracam obracím
obracasz obracíš
obraca obrací
obiorę oberu
obierzesz obereš
obierze obere
obrażę urazím
obrazisz urazíš
obrazi urazí
obrażam urážím
obrażasz urážíš
obraża uráží
obronię ubráním
obronisz ubráníš
obroni ubrání
obrócę obrátím
obrócisz obrátíš
obróci obrátí
obsadzę obsadím
obsadzisz obsadíš
obsadzi obsadí
obserwuję pozoruji
obserwujesz pozoruješ
obserwuje pozoruje
obsługuję obsluhuji
obsługujesz obsluhuješ
obsługuje obsluhuje
obudzę probudím
obudzisz probudíš
obudzi probudí
obwiniam obviňuji
obwiniasz obviňuješ
obwinia obviňuje
ocalę zachráním
ocalisz zachráníš
ocali zachrání
oceniam hodnotím
oceniasz hodnotíš
ocenia hodnotí
ocenię ocením
ocenisz oceníš
oceni ocení
ochraniam chráním
ochraniasz chráníš
ochrania chrání
ochronię ochráním
ochronisz ochráníš
ochroni ochrání
ocieram otírám
ocierasz otíráš
ociera otírá
oczaruję okouzlím
oczarujesz okouzlíš
oczaruje okouzlí
oczyszczę očistím
oczyścisz očistíš
oczyści očistí
odbiję odrazím
odbijesz odrazíš
odbije odrazí
odbieram odebírám
odbierasz odebíráš
odbiera odebírá
odbijam odrážím
odbijasz odrážíš
odbija odráží
odbuduję obnovím
odbudujesz obnovíš
odbuduje obnoví
odbędę proběhnu
odbędziesz proběhneš
odbędzie proběhne
odbywam probíhám
odbywasz probíháš
odbywa probíhá
odetnę odříznu
odetniesz odřízneš
odetnie odřízne
odczuwam pociťuji
odczuwasz pociťuješ
odczuwa pociťuje
odczytam přečtu
odczytasz přečteš
odczyta přečte
odczytuję přečítám
odczytujesz přečítáš
odczytuje přečítá
oddam odevzdám
oddasz odevzdáš
odda odevzdá
oddalam vzdaluji
oddalasz vzdaluješ
oddala vzdaluje
oddalę vzdálím
oddalisz vzdálíš
oddali vzdálí
oddaję odevzdávám
oddajesz odevzdáváš
oddaje odevzdává
oddzielę oddělím
oddzielisz oddělíš
oddzieli oddělí
odbiorę odeberu
odbierzesz odebereš
odbierze odebere
odegnam odeženu
odegnasz odeženeš
odegna odežene
odegram sehraji
odegrasz sehraješ
odegra sehraje
odprę odrazím
odprzesz odrazíš
odprze odrazí
oderwę odtrhnu
oderwiesz odtrhneš
oderwie odtrhne
odeślę odešlu
odeślesz odešleš
odeśle odešle
odgrywam hraji
odgrywasz hraješ
odgrywa hraje
odejmę odečtu
odejmiesz odečteš
odejmie odečte
odkładam odkládám
odkładasz odkládáš
odkłada odkládá
odkręcę odšroubuji
odkręcisz odšroubuješ
odkręci odšroubuje
odkryję objevím
odkryjesz objevíš
odkryje objeví
odkrywam objevuji
odkrywasz objevuješ
odkrywa objevuje
odkupuję vykoupím
odkupujesz vykoupíš
odkupuje vykoupí
odłączę odpojím
odłączysz odpojíš
odłączy odpojí
odłożę odložím
odłożysz odložíš
odłoży odloží
odmawiam odmítám
odmawiasz odmítáš
odmawia odmítá
odmienię změním
odmienisz změníš
odmieni změní
odmówię odmítnu
odmówisz odmítneš
odmówi odmítne
odnajdę najdu
odnajdziesz najdeš
odnajdzie najde
odniosę odnesu
odniesiesz odneseš
odniesie odnese
odnoszę odnosím
odnosisz odnosíš
odnosi odnosí
odnowię obnovím
odnowisz obnovíš
odnowi obnoví
odpalę odpálím
odpalisz odpálíš
odpali odpálí
odpędzę odeženu
odpędzisz odeženeš
odpędzi odežene
odpowiadam odpovídám
odpowiadasz odpovídáš
odpowiada odpovídá
odpowiem odpovím
odpowiesz odpovíš
odpowie odpoví
odprawię odbavím
odprawisz odbavíš
odprawi odbaví
odprężę uvolním
odprężysz uvolníš
odpręży uvolní
odprowadzę odvedu
odprowadzisz odvedeš
odprowadzi odvede
odrobię odpracuji
odrobisz odpracuješ
odrobi odpracuje
odrywam odtrhávám
odrywasz odtrháváš
odrywa odtrhává
odrzucam odmítám
odrzucasz odmítáš
odrzuca odmítá
odrzucę odmítnu
odrzucisz odmítneš
odrzuci odmítne
odsłonię odkryji
odsłonisz odkryješ
odsłoni odkryje
odstawię odstavím
odstawisz odstavíš
odstawi odstaví
odstąpię odstoupím
odstąpisz odstoupíš
odstąpi odstoupí
odstraszę odstraším
odstraszysz odstrašíš
odstraszy odstraší
odsuwam odsouvám
odsuwasz odsouváš
odsuwa odsouvá
odszukam vyhledám
odszukasz vyhledáš
odszuka vyhledá
odświeżę osvěžím
odświeżysz osvěžíš
odświeży osvěží
odtworzę přehraji
odtworzysz přehraješ
odtworzy přehraje
odwiedzam navštěvuji
odwiedzasz navštěvuješ
odwiedza navštěvuje
odwiedzę navštívím
odwiedzisz navštívíš
odwiedzi navštíví
odwiodę odvedu
odwiedziesz odvedeš
odwiedzie odvede
odwiozę odvezu
odwieziesz odvezeš
odwiezie odveze
odwołam odvolám
odwołasz odvoláš
odwoła odvolá
odwracam odvracím
odwracasz odvracíš
odwraca odvrací
odwrócę odvrátím
odwrócisz odvrátíš
odwróci odvrátí
odziedziczę zdědím
odziedziczysz zdědíš
odziedziczy zdědí
ofiaruję obětuji
ofiarujesz obětuješ
ofiaruje obětuje
ogarniam objímám
ogarniasz objímáš
ogarnia objímá
ogłoszę ohlásím
ogłosisz ohlásíš
ogłosi ohlásí
ogolę oholím
ogolisz oholíš
ogoli oholí
ograniczam omezuji
ograniczasz omezuješ
ogranicza omezuje
ograniczę omezím
ograniczysz omezíš
ograniczy omezí
ogrzeję ohřeji
ogrzejesz ohřeješ
ogrzeje ohřeje
okażę ukážu
okażesz ukážeš
okaże ukáže
okazuję ukazuji
okazujesz ukazuješ
okazuje ukazuje
okiełznam zkrotím
okiełznasz zkrotíš
okiełzna zkrotí
okładam obkládám
okładasz obkládáš
okłada obkládá
okłamuję lžu
okłamujesz lžeš
okłamuje lže
okradnę okradu
okradniesz okradeš
okradnie okrade
okrążę obklíčím
okrążysz obklíčíš
okrąży obklíčí
określam určuji
określasz určuješ
określa určuje
określę určím
określisz určíš
określi určí
okryję zakryji
okryjesz zakryješ
okryje zakryje
omijam obcházím
omijasz obcházíš
omija obchází
opadam opadávám
opadasz opadáváš
opada opadává
opanuję ovládnu
opanujesz ovládneš
opanuje ovládne
opadnę spadnu
opadniesz spadneš
opadnie spadne
opatrzę opatřím
opatrzysz opatříš
opatrzy opatří
operuję operuji
operujesz operuješ
operuje operuje
opędzę odvrátím
opędzisz odvrátíš
opędzi odvrátí
opieram opírám
opierasz opíráš
opiera opírá
opłacę zaplatím
opłacisz zaplatíš
opłaci zaplatí
opłakuję oplakávám
opłakujesz oplakáváš
opłakuje oplakává
opowiadam vyprávím
opowiadasz vyprávíš
opowiada vypráví
opowiem povím
opowiesz povíš
opowie poví
opóźnię zpozdím
opóźnisz zpozdíš
opóźni zpozdí
opracuję zpracuji
opracujesz zpracuješ
opracuje zpracuje
opróżnię vyprázdním
opróżnisz vyprázdníš
opróżni vyprázdní
oprę opřu
oprzesz opřeš
oprze opře
opublikuję publikuji
opublikujesz publikuješ
opublikuje publikuje
opuszczam opouštím
opuszczasz opouštíš
opuszcza opouští
opuszczę opustím
opuscisz opustíš
opuści opustí
organizuję organizuji
organizujesz organizuješ
organizuje organizuje
orientuję orientuji
orientujesz orientuješ
orientuje orientuje
osadzę usadím
osadzisz usadíš
osadzi usadí
osądzam soudím
osądzasz soudíš
osądza soudí
osądzę odsoudím
osądzisz odsoudíš
osądzi odsoudí
oskarżam obviňuji
oskarżasz obviňuješ
oskarża obviňuje
oskarżę obviním
oskarżysz obviníš
oskarży obviní
osłabię oslabím
osłabisz oslabíš
osłabi oslabí
osłaniam kryji
osłaniasz kryješ
osłania kryje
osłonię ukryji
osłonisz ukryješ
osłoni ukryje
oswobodzę osvobodím
oswobodzisz osvobodíš
oswobodzi osvobodí
oswoję ochočím
oswoisz ochočíš
oswoi ochočí
oszacuję odhadnu
oszacujesz odhadneš
oszacuje odhadne
oszukam podvedu
oszukasz podvedeš
oszuka podvede
oszukuję podvádím
oszukujesz podvádíš
oszukuje podvádí
oświadczę prohlásím
oświadczysz prohlásíš
oświadczy prohlásí
oświetlę osvětlím
oświetlisz osvětlíš
oświetli osvětlí
otaczam obklopuji
otaczasz obklopuješ
otacza obklopuje
otoczę obklopím
otoczysz obklopíš
otoczy obklopí
otruję otrávím
otrujesz otrávíš
otruje otráví
otrę utřu
otrzesz utřeš
otrze utře
otrzymam dostanu
otrzymasz dostaneš
otrzyma dostane
otrzymuję dostávám
otrzymujesz dostáváš
otrzymuje dostává
otwieram otevírám
otwierasz otevíráš
otwiera otevírá
otworzę otevřu
otworzysz otevřeš
otworzy otevře
oznaczam znamenám
oznaczasz znamenáš
oznacza znamená
oznaczę označím
oznaczysz označíš
oznaczy označí
ożywię oživím
ożywisz oživíš
ożywi oživí
pakuję balím
pakujesz balíš
pakuje balí
palę kouřím
palisz kouříš
pali kouří
padnę padnu
padniesz padneš
padnie padne
pcham tlačím
pchaś tlačíš
pcha tlačí
pełnię plním
pełnisz plníš
pełni plní
pędzę ženu
pędzisz ženeš
pędzi žene
piję piji
pijesz piješ
pije pije
piekę peču
pieczesz pečeš
piecze peče
pielęgnuję pečuji
pielęgnujesz pečuješ
pielęgnuje pečuje
pieprzę prdím
pieprzysz prdíš
pieprzy prdí
pieśćę laskám
pieścisz laskáš
pieści laská
piszę píšu
piszesz píšeš
pisze píše
pisywuję psávám
pisywujesz psáváš
pisywuje psává
planuję plánuji
planujesz plánuješ
planuje plánuje
płacę platím
płacisz platíš
płaci platí
pobiję porazím
pobijesz porazíš
pobije porazí
pobieram odebírám
pobierasz odebíráš
pobiera odebírá
pobiorę odeberu
pobierzesz odebereš
pobierze odebere
pobudzę probudím
pobudzisz probudíš
pobudzi probudí
pocałuję políbím
pocałujesz políbíš
pocałuje políbí
pochowam pochovám
pochowasz pochováš
pochowa pochová
pochwalę pochválím
pochwalisz pochválíš
pochwali pochválí
pochwycę zachytím
pochwycisz zachytíš
pochwyci zachytí
pochylę skloním
pochylisz skloníš
pochyli skloní
pociągam táhnu
pociągasz táhneš
pociąga táhne
pocieszam utěšuji
pocieszasz utěšuješ
pociesza utěšuje
pocieszę utěším
pocieszysz utěšíš
pocieszy utěší
poczynam počnu
poczynasz počneš
poczyna počne
poczęstuję pohostím
poczęstujesz pohostíš
poczęstuje pohostí
poczynię učiním
poczynisz učiníš
poczyni učiní
podam podám
podasz podáš
poda podá
podaruję daruji
podarujesz daruješ
podaruje daruje
podaję podávám
podajesz podáváš
podaje podává
podbiję dobudu
podbijesz dobudeš
podbije dobude
podchodzę přistupuji
podchodzisz přistupuješ
podchodzi přistupuje
poddam poddám
poddasz poddáš
podda poddá
podejmuję podnikám
podejmujesz podnikáš
podejmuje podniká
podejrzewam podezřívám
podejrzewasz podezříváš
podejrzewa podezřívá
podeprę podepřu
podeprzesz podepřeš
podeprze podepře
poderwę zvednu
poderwiesz zvedneš
poderwie zvedne
podejmę podniknu
podejmiesz podnikneš
podejmie podnikne
podłączę připojím
podłączysz připojíš
podłączy připojí
podniosę zvednu
podniesiesz zvedneš
podniesie zvedne
podnoszę zvedám
podnosisz zvedáš
podnosi zvedá
podpalę podpálím
podpalisz podpálíš
podpali podpálí
podpiszę podepíšu
podpiszesz podepíšeš
podpisze podepíše
podporządkuję podřídím
podporządkujesz podřídíš
podporządkowuje podřídí
podrapię poškrábu
podrapiesz poškrábeš
podrapie poškrábe
podróżuję cestuji
podróżujesz cestuješ
podróżuje cestuje
podrzucę podhodím
podrzucisz podhodíš
podrzuci podhodí
podsłucham odposlouchávám
podsłuchasz odposloucháváš
podsłucha odposlouchává
podsłuchuję odposlouchávám
podsłuchujesz odposloucháváš
podsłuchuje odposlouchává
podtrzymam podepřu
podtrzymasz podepřeš
podtrzyma podepře
podtrzymuję udržuji
podtrzymujesz udržuješ
podtrzymuje udržuje
podważę podkopu
podważysz podkopeš
podważy podkope
podzieję ztratím
podziejesz ztratíš
podzieje ztratí
podzielę rozdělím
podzielisz rozdělíš
podzieli rozdělí
podziwiam obdivuji
podziwiasz obdivuješ
podziwia obdivuje
pogłaszczę pohladím
pogłaszczesz pohladíš
pogłaszcze pohladí
pogodzę smířím
pogodzisz smíříš
pogodzi smíří
pogorszę zhorším
pogorszysz zhoršíš
pogorszy zhorší
pogrążę potopím
pogrążysz potopíš
pogrąży potopí
pogrzebię pohřbím
pogrzebiesz pohřbíš
pogrzebie pohřbí
pohamuję potlačím
pohamujesz potlačíš
pohamuje potlačí
poinformuję informuji
poinformujesz informuješ
poinformuje informuje
pojmę pochopím
pojmiesz pochopíš
pojmę pochopí
pojmam zajmu
pojmasz zajmeš
pojma zajme
pojmę chápu
pojmiesz chápeš
pojmę chápe
pokażę ukážu
pokażesz ukážeš
pokaże ukáže
pokazuję ukazuji
pokazujesz ukazuješ
pokazuje ukazuje
pokieruję navedu
pokierujesz navedeš
pokieruje navede
pokonam porazím
pokonasz porazíš
pokona porazí
pokonuję překonávám
pokonujesz překonáváš
pokonuje překonává
pokryję pokryji
pokryjesz pokryješ
pokryje pokryje
pokrywam pokrývám
pokrywasz pokrýváš
pokrywa pokrývá
pokrzyżuję překazím
pokrzyżujesz překazíš
pokrzyżuje překazí
polecę doporučím
polecisz doporučíš
poleci doporučí
policzę spočítám
policzysz spočítáš
policzy spočítá
połamię polámu
połamiesz polámeš
połamie poláme
połapię pochytám
połapiesz pochytáš
połapie pochytá
połączę spojím
połączysz spojíš
połączy spojí
położę položím
położysz položíš
położy položí
pomieszczę pojmu
pomieścisz pojmeš
pomieści pojme
pomówię pomluvím
pomówisz pomluvíš
pomówi pomluví
pomszczę pomstím
pomścisz pomstíš
pomści pomstí
pomyślę myslím
pomyślisz myslíš
pomyśli myslí
poniosę ponesu
poniesiesz poneseš
poniesie ponese
ponoszę nosím
ponosisz nosíš
ponosi nosí
popadnę upadnu
popadniesz upadneš
popadnie upadne
popieram podporuji
popierasz podporuješ
popiera podporuje
popijam popíjím
popijasz popíjíš
popija popíjí
poprawiam opravuji
poprawiasz opravuješ
poprawia opravuje
poprawię opravím
poprawisz opravíš
poprawi opraví
poproszę poprosím
poprosisz poprosíš
poprosi poprosí
poprowadzę provedu
poprowadzisz provedeš
poprowadzi provede
poprę podpořím
poprzesz podpoříš
poprze podpoří
popsuję zkazím
popsujesz zkazíš
popsuje zkazí
popycham postrkuji
popychasz postrkuješ
popycha postrkuje
poradzę poradím
poradzisz poradíš
poradzi poradí
porównam porovnám
porównasz porovnáš
porówna porovná
porównuję porovnávám
porównujesz porovnáváš
porównuje porovnává
poruszę pohnu
poruszysz pohneš
poruszy pohne
porwę unesu
porwiesz uneseš
porwie unese
porywam unáším
porywasz unášíš
porywa unáší
porzucę opustím
porzucisz opustíš
porzuci opustí
posadzę posadím
posadzisz posadíš
posadzi posadí
posądzam podezírám
posądzasz podezíríš
posądza podezírá
posądzę podezřím
posądzisz podezříš
posądzi podezří
posiadam vlastním
posiadasz vlastníš
posiada vlastní
poskładam poskládám
poskładasz poskládáš
poskłada poskládá
poskromię zkrotím
poskromisz zkrotíš
poskromi zkrotí
poszlę pošlu
posłysz pošleš
poszli pošle
posprzątam uklidím
posprzątasz uklidíš
posprząta uklidí
postawię postavím
postawisz postavíš
postawi postaví
postrzegam vnímám
postrzegasz vnímáš
postrzega vnímá
posuwam posouvám
posuwasz posouváš
posuwa posouvá
posyłam posílám
posyłasz posíláš
posyła posílá
poświęcam obětuji
poświęcasz obětuješ
poświęca obětuje
poświęcę obětuji
poświęcisz obětuješ
poświęci obětuje
potępiają odsuzuji
potępiają odsuzuješ
potępiają odsuzuje
potraktuję zacházím
potraktujesz zacházíš
potraktuje zachází
potrząsam třesu
potrząsasz třešeš
potrząsa třeše
potrzymam podržím
potrzymasz podržíš
potrzyma podrží
pouczam poučuji
pouczasz poučuješ
